City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
243,Vila Velha,BR,-20.3297,-40.2925,78.75,91,75,11.5,moderate rain
244,Port Antonio,JM,18.18,-76.4612,78.71,80,15,3.27,few clouds
245,Willowmore,ZA,-33.2926,23.4895,66.34,42,0,5.53,clear sky
246,Berwick,US,41.0545,-76.2333,24.35,49,57,5.01,broken clouds
247,Osterholz-Scharmbeck,DE,53.2333,8.8,37.9,97,100,1.99,overcast clouds
248,Sayyan,YE,15.1718,44.3244,56.53,41,13,0.34,few clouds
249,Sao Filipe,CV,14.8961,-24.4956,70.65,64,36,15.03,scattered clouds
250,Virginia Beach,US,36.8529,-75.978,51.84,34,0,23.02,clear sky
251,Kikwit,CD,-5.041,18.8162,67.32,95,97,2.33,overcast clouds
252,Omboue,GA,-1.5746,9.2618,78.04,88,34,1.3,light rain
253,Maragogi,BR,-9.0122,-35.2225,80.69,76,59,12.35,broken clouds
254,Tornio,FI,65.8481,24.1466,23.02,92,100,9.35,overcast clouds
255,Timizart,DZ,36.8,4.2667,49.73,91,68,2.17,broken clouds
256,Maidens,GB,55.3338,-4.8147,42.84,95,100,21.9,moderate rain
257,Taoudenni,ML,22.6783,-3.9836,70.81,13,69,9.33,broken clouds
258,Oktyabrskiy,RU,54.4815,53.471,25.27,92,99,12.12,overcast clouds
259,Takoradi,GH,4.8845,-1.7554,79.25,86,96,7.14,overcast clouds
260,Goundam,ML,16.4145,-3.6708,75.06,11,26,8.3,scattered clouds
261,Thunder Bay,CA,48.4001,-89.3168,14.56,81,100,6.91,overcast clouds
262,Gogrial,SS,8.5332,28.1004,77.77,17,81,10.47,broken clouds
263,Siavonga,ZM,-16.5382,28.7088,72.73,87,87,4.25,moderate rain
264,Miguel Calmon,BR,-11.4289,-40.595,72.66,75,62,3.33,broken clouds
265,Ndende,GA,-2.4008,11.3581,72.77,96,65,1.99,light rain
266,Bubaque,GW,11.2833,-15.8333,77.86,68,58,18.07,broken clouds
267,Kushmurun,KZ,52.4503,64.6311,-4.88,96,23,6.35,few clouds
268,Kruisfontein,ZA,-34.0033,24.7314,66.88,67,1,21.52,clear sky
269,Sistranda,NO,63.7256,8.834,32.9,79,96,23.94,light snow
270,Chalinze,TZ,-6.6378,38.354,74.1,96,31,3.22,scattered clouds
271,Kansanshi,ZM,-12.0951,26.4273,60.04,97,97,3.83,overcast clouds
272,Obo,CF,5.3998,26.4869,75.29,18,93,2.21,overcast clouds
273,Hamilton,US,39.1834,-84.5333,28.24,51,0,6.91,clear sky
274,Muisne,EC,0.6,-80.0333,76.51,89,69,2.24,light rain
275,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,13.8,few clouds
276,Dalvik,IS,65.9702,-18.5286,22.93,89,99,6.2,overcast clouds
277,Ciudad Bolivar,VE,8.1222,-63.5497,84.16,46,84,15.1,broken clouds
278,Nicolas Bravo,MX,18.45,-88.9167,81.48,68,6,5.26,clear sky
279,Harlingen,US,26.1906,-97.6961,66.38,59,75,14.97,broken clouds
280,Tobol,KZ,52.6844,62.5794,-6.23,98,5,5.93,clear sky
281,Muzaffarabad,PK,34.37,73.4711,44.89,53,1,6.71,clear sky
282,Forestville,US,38.8451,-76.875,33.08,34,0,26.46,clear sky
283,Grindavik,IS,63.8424,-22.4338,33.75,69,75,34.52,snow
284,Muros,ES,42.7762,-9.0603,51.1,80,71,2.57,broken clouds
285,Matara,LK,5.9485,80.5353,74.53,91,44,3.47,scattered clouds
286,Bojnurd,IR,37.4747,57.329,37.35,65,0,2.3,clear sky
287,Husavik,IS,66.0449,-17.3389,22.91,90,80,7.85,broken clouds
288,Munak,IN,29.5187,76.8486,50.54,55,0,8.05,clear sky
289,Salinopolis,BR,-0.6136,-47.3561,79.2,80,11,6.69,moderate rain
290,Andros Town,BS,24.7,-77.7667,75.16,74,15,8.55,few clouds
291,Shahrud,IR,36.4182,54.9763,44.06,69,100,1.05,overcast clouds
292,Faya,SA,18.3851,42.4509,55.51,79,2,5.12,clear sky
293,Baripada,IN,21.935,86.7214,69.04,47,87,2.68,overcast clouds
294,Ambovombe,MG,-25.1667,46.0833,70.86,87,0,8.1,clear sky
295,Ondjiva,AO,-17.0667,15.7333,68.36,85,77,1.23,moderate rain
296,Souillac,MU,-20.5167,57.5167,80.98,89,75,26.46,light intensity shower rain
297,Bengkulu,ID,-3.8004,102.2655,76.17,84,97,4.23,overcast clouds
298,Quipile,CO,4.7481,-74.5631,59.94,93,58,4.32,broken clouds
299,Gornopravdinsk,RU,60.05,69.9,16.95,77,4,10.71,clear sky
300,Itaituba,BR,-4.2761,-55.9836,72.07,98,98,0.38,moderate rain
301,Pangnirtung,CA,66.1451,-65.7125,-26.03,97,100,2.35,overcast clouds
302,Lawrenceburg,US,38.0373,-84.8966,33.01,45,0,3.44,clear sky
303,Mushie,CD,-3.0167,16.9,71.29,84,100,1.57,overcast clouds
304,Sayat,TM,38.7839,63.8803,35.47,45,29,5.97,scattered clouds
305,Kavaratti,IN,10.5669,72.642,80.64,72,5,8.72,clear sky
306,Trojan,PL,53.7897,20.2404,37.69,81,81,13.33,broken clouds
307,Krasnoborsk,RU,61.5598,45.934,31.98,94,100,10.69,light snow
308,Staryy Nadym,RU,65.6118,72.6842,24.89,95,100,18.52,overcast clouds
309,Ustye,RU,59.6304,39.736,33.01,98,100,10.49,overcast clouds
310,Millau,FR,44.0833,2.9167,39.99,83,12,7.36,few clouds
311,Port-Gentil,GA,-0.7193,8.7815,80.53,82,57,6.87,light rain
312,Mankono,CI,8.0586,-6.1897,80.8,32,85,2.53,overcast clouds
313,Damietta,EG,31.4165,31.8133,53.82,69,0,3.24,clear sky
